序號,提案名稱,主提案人,所有提案人,進度,首次排入院會日期.x,會期,提案編號,no,pdf
85,立法院職權行使法部分條文修正草案,尤美女等,尤美女  吳秉叡  鄭麗君  劉櫂豪  陳歐珀,1041211   一讀(委員會待審),1021025,08屆04期07次,23委15468,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc7cfcbcfcac8cdc5ceccc8d2cecacd
86,立法院職權行使法增訂部分條文草案,李俊俋等,李俊俋  劉建國,1041216   退回程序,1021025,08屆04期07次,23委15469,1021003070201600,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\04\05\LCEWA01_080405_00034.pdf
87,立法院職權行使法部分條文修正草案,李桐豪等,李桐豪  林佳龍  陳怡潔  陳亭妃  林國正,1021004   一讀(委員會待審),1021004,08屆04期04次,23委15409,1020926070201800,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\04\04\LCEWA01_080404_00029.pdf
88,立法院職權行使法第十五條條文修正草案,親民黨黨團等,親民黨黨團  李桐豪,1020322   一讀(委員會待審),1020322,08屆03期05次,23委14754,1020318070201600,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\03\05\LCEWA01_080305_00036.pdf
89,立法院職權行使法第六十條條文修正草案,薛凌,薛凌,1041216   退回程序,1020104,08屆02期16次,23委14595,1011227070200600,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\16\LCEWA01_080216_00037.pdf
90,立法院職權行使法第三十七條、第四十三條及第四十四條之一條文修正草案,台灣團結聯盟黨團等,台灣團結聯盟黨團  黃文玲,1041211   一讀(委員會待審),1011123,08屆02期10次,23委14327,1011119070200100,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\10\LCEWA01_080210_00048.pdf
91,立法院職權行使法部分條文修正草案,台灣團結聯盟黨團等,台灣團結聯盟黨團  黃文玲,1041211   一讀(委員會待審),1011012,08屆02期04次,23委14009,1011005070200500,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\04\LCEWA01_080204_00061.pdf
92,立法院職權行使法部分條文修正草案,李應元等,李應元  許智傑  蘇震清  鄭麗君  林佳龍  黃偉哲  劉櫂豪  陳亭妃,1011005   一讀(委員會待審),1011005,08屆02期03次,23委13925,1010926070200500,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\03\LCEWA01_080203_00024.pdf
93,立法院職權行使法第二十九條、第三十條及第三十一條條文修正草案,吳秉叡等,吳秉叡  李昆澤  鄭麗君  蔡其昌  管碧玲  黃偉哲  劉櫂豪  葉宜津,1010918   一讀(委員會待審),1010918,08屆02期01次,23委13784,1010601070201100,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\01\LCEWA01_080201_00051.pdf
94,立法院職權行使法第二十九條及第三十條條文修正草案,李俊俋等,李俊俋  劉櫂豪  吳秉叡  陳亭妃  管碧玲  葉宜津  蔡其昌  姚文智,1010918   一讀(委員會待審),1010918,08屆02期01次,23委13794,1010601070201800,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\01\LCEWA01_080201_00052.pdf
95,立法院職權行使法部分條文修正草案,林佳龍等,林佳龍  劉櫂豪  陳亭妃  陳歐珀  黃偉哲  管碧玲  劉建國  許智傑,1010918   一讀(委員會待審),1010918,08屆02期01次,23委13813,1010607070200100,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\01\LCEWA01_080201_00053.pdf
96,立法院職權行使法部分條文修正草案,親民黨黨團等,親民黨黨團  李桐豪,1010918   一讀(委員會待審),1010918,08屆02期01次,23委13826,1010611070200400,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\01\LCEWA01_080201_00054.pdf
97,立法院職權行使法第七十三條條文修正草案,蘇震清等,蘇震清  陳明文  高志鵬  許智傑  劉櫂豪  陳亭妃  林岱樺  邱志偉  劉建國  陳其邁,1010918   一讀(委員會待審),1010918,08屆02期01次,23委13845,1010903070200300,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\01\LCEWA01_080201_00101.pdf
98,立法院職權行使法部分條文修正草案,邱議瑩等,邱議瑩  邱志偉  吳秉叡,1041211   退回程序,1010511,08屆01期11次,23委13515,1010503070202700,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\01\11\LCEWA01_080111_00053.pdf
99,立法院職權行使法第五十四條條文修正草案,邱志偉等,邱志偉  林佳龍  吳秉叡  李昆澤  陳亭妃,1010427   一讀(委員會待審),1010427,08屆01期09次,23委13340,1010417070200800,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\01\09\LCEWA01_080109_00040.pdf
100,立法院職權行使法第七十一條之一條文修正草案,孫大千等,孫大千  林國正,1010427   一讀(委員會待審),1010406,08屆01期06次,23委13166,1010328070200800,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\01\06\LCEWA01_080106_00018.pdf
